file_name,div,steel_grade,lot_no,GS,mix,mGS,TS,YS,RA,EL,min_con,max_con,avg_con,cnt_con,std_con,med_con
A-100_STS304CUS4  B3B0544800  X100  G.S=5.png,A,STS304CUS4,B3B0544800,5,X,-,460,180,45,81,9,16720.5,3999.61403508772,57,4015.57146969445,2610
A-101_STS304CUMS4  B410066807  X100  G.S=6.5.png,A,STS304CUMS4,B410066807,6.5,X,-,475,165,51,81,0,8146,1482.17605633803,142,1909.09608818774,695
A-102_S30432S1  B41P007800  X100  G.S=9.png,A,S30432S1,B41P007800,9,X,-,635,350,49,,0,1735.5,136.678571428571,924,185.485984277323,76.25
A-103_S304THES3  B320715101  X100  G.S =4.png,A,S304THES3,B320715101,4,X,-,640,360,47,80,4.5,30210,3530.25384615385,65,5463.75972492532,1529
A-104_S304J3S2  B3C0494500  X100  G.S= 5.png,A,S304J3S2,B3C0494500,5,X,-,545,220,65,82,0,17504.5,2511.29545454545,88,3214.91279539971,1319.5
A-105_S304J3S2  B3C0494500  X100  G.S =5.png,A,S304J3S2,B3C0494500,5,X,-,545,220,65,82,0,20425,2499.5,89,3580.75713542839,1236.5
A-106_S304J3S2  B3C0494401  X100 G.S=5.5.png,A,S304J3S2,B3C0494401,5.5,X,-,535,190,67,83,0,20742,3513.16153846154,65,4665.97260131401,1738
A-107_S304J3S2  B3C0494401  X100  G.S=5.5.png,A,S304J3S2,B3C0494401,5.5,X,-,535,190,67,83,3,25482,3703.09322033898,59,4629.3384237178,2253
A-108_S304J3S2  B3C0494401  X100  G.S= 5.5.png,A,S304J3S2,B3C0494401,5.5,X,-,535,190,67,83,8,30477,3732.0737704918,61,5153.94481483785,1962
A-109_S304J3S2  B3C0494401  X100   G.S=5.5.png,A,S304J3S2,B3C0494401,5.5,X,-,535,190,67,83,0,15238,3481.12307692308,65,3850.06575870991,2109
A-10_304LDS1  B3B0451009   X100  G.S=5.png,A,304LDS1,B3B0451009,5,X,-,585,280,78,69,0,26213,5912.025,40,6970.20742602937,3391.25
A-111_S304J3S2  B3C0491901  X100  G.S=5.png,A,S304J3S2,B3C0491901,5,X,-,525,225,66,82,0,20074.5,3575.65625,64,4603.96562832912,1970.5
A-112_S304J3S2  B3C0491901  X100  G.S= 5.png,A,S304J3S2,B3C0491901,5,X,-,525,225,66,82,0,19215.5,3630.16666666667,63,4597.0385550037,1827.5
A-113_S304J3S2  B3C0491901  X100  G.S =5.png,A,S304J3S2,B3C0491901,5,X,-,525,225,66,82,62.5,175944,13765.9705882353,17,40681.2480148195,2758
A-114_S304J3S2  B3B0545501  X100  G.S=4.png,A,S304J3S2,B3B0545501,4,X,-,510,185,62,82,29,60462,7758.34482758621,29,13597.8251817781,2577
A-115_S304J3S2  B3B0545501  X100  G.S= 4.png,A,S304J3S2,B3B0545501,4,X,-,510,185,62,82,186.5,43159,8201.33333333333,27,11387.379702987,3174
A-116_304LDS1  B3C0477900   X100  G.S=6.5.png,A,304LDS1,B3C0477900,6.5,X,-,605,285,81,66,0,10344,1310.85576923077,156,1574.68592819861,752.75
A-117_304LDS1  B3C0477900  X100  G.S=6.5.png,A,304LDS1,B3C0477900,6.5,X,-,605,285,81,66,26,37229,2446.44512195122,82,5361.45030092656,668
A-118_304LDS1  B3C0477900  X100 G.S=6.5.png,A,304LDS1,B3C0477900,6.5,X,-,605,285,81,66,0,10387.5,1341.95751633987,153,1702.49911361365,798.5
A-119_304LDS1  B410101403   X100  G.S=1.png,A,304LDS1,B410101403,1,X,-,570,220,80,70,2.5,54650.5,24976.35,10,17025.5468297644,26097.25
A-11_S302  B410465200  X100   G.S=6.5.png,A,S302,B410465200,6.5,X,-,655,240,53,78,0,11707,1102.59826589595,173,1661.93710507073,462
A-120_304LDS1  B410139200  X100  G.S=6.5.png,A,304LDS1,B410139200,6.5,X,-,605,250,80,67,8.5,13190.5,2217.64606741573,89,2773.24363407639,1114.5
